index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
6,2015,7,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe),"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",79,189.857,0.606,0.262,-6.646,0.0484,0.0,252534,0.275,False,4.0,pop
7,2015,8,5iNRPN7oYQvdB9AmeSW6d3,Trap Queen,Fetty Wap,4DM34NuOlqu5S8PZAje4iF,Fetty Wap (Deluxe),"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,148.075,0.873,0.746,-3.803,0.128,0.0,222093,0.817,True,4.0,rap
8,2015,9,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,5fy0X0JmZRZnVa2UEicIOl,1989,"['dance pop', 'pop', 'pop dance']",76,140.06,0.664,0.553,-7.417,0.0741,0.0056,220440,0.467,False,4.0,pop
9,2015,10,7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande,6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe),"['dance pop', 'pop', 'post-teen pop']",78,125.026,0.593,0.628,-5.036,0.0323,1.65e-06,197266,0.104,False,3.0,pop
10,2015,11,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),"['dance pop', 'pop', 'pop dance']",79,95.997,0.703,0.76,-5.412,0.054,0.0,231826,0.57,False,4.0,pop
11,2015,12,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),"['boy band', 'pop', 'post-teen pop', 'talent show']",81,138.113,0.703,0.73,-5.672,0.0369,0.0,192120,0.595,False,3.0,pop
12,2015,13,7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,"['canadian contemporary r&b', 'canadian pop', 'pop']",87,113.003,0.564,0.585,-7.063,0.0515,0.0,242253,0.137,True,4.0,pop
13,2015,14,5y6pj7OeBFF0CVgZKhRbOG,Black Magic,Little Mix,4bzVI1FElc13HQagFR7S1W,Get Weird (Deluxe),"['dance pop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",13,111.987,0.895,0.777,-4.464,0.0618,0.0,211773,0.826,False,4.0,pop
14,2015,15,2iuZJX9X9P0GKaE93xcPjk,Sugar,Maroon 5,2Auw0pTT6EcQdvHNimhLQI,V,"['pop', 'pop rock']",80,120.076,0.788,0.748,-7.055,0.0334,0.0,235493,0.884,True,4.0,rock
15,2015,16,3nRmuCfXdEDIPGX7pXBtto,YOUTH,Troye Sivan,0E0FaFHEssddwuwD4MsHiY,YOUTH,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",0,91.522,0.749,0.627,-4.453,0.0415,0.0,185194,0.608,False,3.0,pop
16,2015,17,6hmhG1b4LEyNuashVvuIAo,Never Forget You,Zara Larsson,5YLRVHDVRw3QqWbeTGpC5B,So Good,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",75,145.992,0.732,0.583,-5.728,0.0457,9.86e-06,213427,0.276,False,4.0,pop
17,2015,18,3zkWCteF82vJwv0hRLba76,Stitches,Shawn Mendes,0CnQ0JQajNswRjPkNYVG8m,Handwritten,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",77,149.882,0.754,0.746,-6.684,0.0676,0.0,206880,0.746,False,3.0,pop
18,2015,19,3NLnwwAQbbFKcEcV8hDItk,Perfect,One Direction,1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),"['boy band', 'pop', 'post-teen pop', 'talent show']",77,99.933,0.823,0.647,-5.231,0.0762,0.0,230333,0.396,False,4.0,pop
19,2015,20,72Bz4ciRZPBcVSw0nrZDHi,Do It Again,Pia Mia,3kBBntDYL62xlqgnulskwv,Do It Again,"['dance pop', 'pop', 'pop dance', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']",75,95.95,0.564,0.712,-6.527,0.047,0.0,207746,0.411,True,3.0,pop
20,2015,21,6xsEAm6w9oMQYYg3jkEkMT,Bad Blood,Taylor Swift,1Tv3rrFNdXGtTeP1plX2xE,Bad Blood,"['dance pop', 'pop', 'pop dance']",67,170.16,0.655,0.654,-7.388,0.106,0.0,200106,0.221,False,3.0,pop
21,2015,22,7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),R. City,4AUTMNSP56xicSznzKgzjB,What Dreams Are Made Of,"['reggae fusion', 'virgin islands reggae']",74,118.413,0.671,0.509,-5.709,0.0678,0.0,227480,0.55,False,4.0,reggae
22,2015,23,0VzzzYWjBWofMsSB77pDo4,Lush Life,Zara Larsson,6zcIEXAc5SYa7DMJ3CyACz,Lush Life,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",0,98.024,0.741,0.658,-2.86,0.0536,0.0,202213,0.789,False,3.0,pop
23,2015,24,0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,0h2knr6qpiAq0tV5ri5JMF,The Days / Nights,"['dance pop', 'edm', 'pop', 'pop dance']",84,125.983,0.835,0.527,-5.298,0.0433,0.0,176658,0.654,False,3.0,pop
